AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Moderate,0,23,0,83
Good,1,15,0,33
Good,1,35,2,41
Good,1,32,2,33
Unhealthy,1,35,0,182
Good,0,33,1,13
Moderate,1,38,1,80
Good,1,24,3,27
Good,1,35,0,43
Unhealthy,1,25,1,156
Good,1,22,4,44
Unhealthy,5,82,17,157
Moderate,2,22,21,88
Unhealthy for Sensitive Groups,1,16,12,102
Moderate,4,63,10,89
Moderate,1,17,1,62
Moderate,1,21,0,56
Good,1,18,0,23
Good,1,28,2,28
Unhealthy,3,176,1,137
Moderate,1,39,2,54
Good,1,23,1,48
Unhealthy,3,96,4,171
Unhealthy,4,177,1,174
Moderate,1,48,3,55
Very Unhealthy,8,25,9,214
Moderate,1,59,0,58
Moderate,1,45,0,65
Moderate,1,42,2,62
Good,1,25,0,15
Good,0,28,0,26
Unhealthy for Sensitive Groups,2,20,2,119
Moderate,1,33,6,52
Moderate,1,21,5,68
Moderate,1,58,1,49
Unhealthy,3,90,2,162
Good,1,41,1,21
Good,1,38,2,44
Moderate,0,30,0,58
Moderate,2,19,4,89
Unhealthy,6,6,19,172
Moderate,1,53,0,58
Moderate,1,18,12,65
Good,1,32,1,31
Moderate,1,29,0,69
Good,0,18,0,24
Good,1,21,13,46
Moderate,1,28,0,62
Good,1,21,4,47
Good,1,43,0,48
Moderate,1,36,1,54
Good,1,40,1,42
Moderate,1,59,0,58
Moderate,2,15,14,64
Good,1,28,0,40
Good,1,28,6,50
Moderate,1,96,1,21
Unhealthy,4,26,10,157
Moderate,2,31,3,97
Good,1,40,1,43
Unhealthy for Sensitive Groups,3,27,5,101
Moderate,1,29,4,56
Moderate,1,27,0,54
Moderate,3,81,5,63
Good,1,45,0,26
Moderate,1,46,5,75
Good,1,42,0,10
Moderate,1,52,0,62
Moderate,2,34,5,70
Unhealthy for Sensitive Groups,1,40,6,134
Moderate,1,32,4,67
Unhealthy for Sensitive Groups,2,26,7,144
Good,1,37,0,31
Unhealthy,4,13,15,152
Good,1,35,1,18
Moderate,1,51,0,61
Good,1,23,0,36
Good,1,37,1,38
Moderate,4,27,7,88
Moderate,1,33,5,58
Unhealthy for Sensitive Groups,1,43,1,109
Moderate,1,52,0,64
Good,1,43,0,14
Moderate,1,26,7,51
Unhealthy,3,45,3,158
Moderate,1,66,0,77
Unhealthy for Sensitive Groups,4,39,21,141
Moderate,1,50,0,55
Good,1,28,1,50
Good,1,37,0,30
Good,1,23,0,32
Good,1,40,0,11
Unhealthy,4,10,19,153
Moderate,1,46,5,74
Good,1,44,0,47
Good,1,11,2,45
Moderate,1,33,0,76
Unhealthy for Sensitive Groups,1,28,3,117
Unhealthy for Sensitive Groups,4,13,23,138
Good,1,39,0,38
Moderate,1,65,0,68
Good,1,29,0,45
Good,1,45,0,15
Good,1,21,3,35
Good,1,36,1,17
Good,1,38,2,48
Unhealthy,4,85,7,174
Unhealthy for Sensitive Groups,2,36,7,137
Good,1,46,0,15
Unhealthy,4,169,1,167
Good,1,47,0,46
Moderate,2,0,4,59
Unhealthy for Sensitive Groups,3,4,8,113
Moderate,1,67,1,63
Good,1,45,1,31
Moderate,1,30,7,63
Good,1,39,0,32
Moderate,2,21,3,53
Moderate,1,33,6,68
Moderate,2,17,5,73
Good,0,14,0,27
Moderate,2,5,4,57
Good,1,2,2,26
Moderate,0,40,0,53
Good,1,38,1,50
Good,1,23,1,39
Moderate,1,29,1,52
Unhealthy for Sensitive Groups,3,40,4,116
Good,1,26,4,18
Moderate,1,46,0,74
Good,0,40,0,27
Good,0,12,1,27
Good,1,35,0,47
Good,0,10,0,12
Moderate,1,35,1,63
Moderate,0,30,0,56
Good,1,34,0,15
Moderate,1,44,1,89
Moderate,1,40,0,52
Moderate,1,31,1,53
Moderate,1,43,1,59
Good,1,15,0,26
Moderate,2,49,0,69
Moderate,1,42,1,64
Unhealthy,3,146,0,163
Moderate,1,25,3,60
Good,1,42,1,22
Good,0,21,1,28
Good,1,31,3,40
Moderate,0,45,0,85
Moderate,1,44,0,84
Good,1,30,3,33
Moderate,1,58,0,48
Good,1,10,0,10
Moderate,1,32,0,52
Unhealthy,1,47,0,150
Moderate,2,40,1,69
Moderate,1,43,0,66
Moderate,1,40,1,64
Moderate,1,38,0,86
Moderate,2,37,3,58
Moderate,1,38,3,51
Good,1,39,0,29
Good,1,31,7,25
Moderate,2,15,19,67
Moderate,1,21,3,62
Good,1,22,0,32
Moderate,1,24,1,88
Good,1,26,3,33
Good,0,20,0,21
Moderate,1,35,3,64
Good,1,27,6,46
Unhealthy,1,48,0,150
Unhealthy for Sensitive Groups,5,31,0,103
Good,1,21,0,41
Moderate,1,28,4,63
Unhealthy,11,2,13,195
Good,1,6,3,47
Moderate,1,39,3,66
Moderate,2,36,6,70
Good,1,4,1,28
Good,1,2,0,50
Good,1,11,0,23
Good,1,40,0,36
Moderate,2,53,2,64
Moderate,2,15,1,54
Moderate,1,39,1,72
Good,1,28,6,46
Unhealthy for Sensitive Groups,2,33,1,117
Unhealthy,1,37,0,162
Very Unhealthy,1,22,0,204
Moderate,2,30,2,71
Unhealthy for Sensitive Groups,2,108,3,129
Good,0,20,0,36
Unhealthy for Sensitive Groups,3,1,13,110
Good,1,35,0,40
Good,1,32,1,50
Good,1,35,0,15
Unhealthy,7,3,11,171
Unhealthy for Sensitive Groups,1,23,0,108
Moderate,2,58,1,87
Moderate,1,21,0,54
Moderate,1,28,0,65
Good,1,33,1,13
Good,1,29,9,47
Moderate,1,51,1,91
Unhealthy for Sensitive Groups,1,21,1,123
Moderate,1,16,3,61
Unhealthy,3,12,19,172
Moderate,2,46,4,66
Moderate,2,49,0,68
Good,1,32,3,22
Moderate,1,22,13,56
Moderate,1,33,5,60
Moderate,1,32,4,57
Unhealthy for Sensitive Groups,0,22,0,121
Good,1,32,4,21
Moderate,1,17,8,52
Moderate,2,47,0,72
Moderate,1,42,0,84
Very Unhealthy,4,3,15,217
Unhealthy,3,59,3,166
Moderate,1,17,4,64
Good,1,37,0,41
Good,1,46,0,17
Moderate,1,19,7,51
Unhealthy,1,48,1,168
Unhealthy,0,24,0,152
Good,1,33,0,36
Moderate,1,29,3,87
Good,2,38,0,50
Good,1,42,0,23
Moderate,1,19,6,62
Unhealthy for Sensitive Groups,1,75,0,117
Moderate,1,51,1,57
Good,1,32,0,46
Moderate,1,35,1,52
Good,1,22,7,45
Good,1,32,2,35
Unhealthy,1,48,1,158
Unhealthy,3,124,1,160
Moderate,2,25,4,66
Good,1,31,0,24
Unhealthy,4,102,7,180
Moderate,1,14,7,57
Good,0,14,0,22
Good,0,23,0,40
Moderate,1,25,3,54
Good,0,9,1,26
Moderate,1,43,0,73
Good,1,36,0,35
Good,1,24,7,49
Moderate,2,27,8,54
Moderate,1,35,0,54
Good,1,28,0,13
Moderate,1,44,2,54
Moderate,1,23,2,58
Moderate,3,18,15,71
Unhealthy,1,38,0,160
Unhealthy,1,40,0,164
Moderate,1,13,0,56
Good,2,28,0,49
Good,1,30,3,50
Good,1,25,10,42
Moderate,1,28,6,56
Good,0,20,0,23
Unhealthy for Sensitive Groups,4,18,4,102
Moderate,1,20,10,63
Moderate,1,37,1,59
Moderate,1,46,1,82
Good,1,38,0,50
Unhealthy,3,162,1,158
Moderate,1,42,0,54
Good,1,28,0,40
Moderate,1,43,1,67
Good,0,12,1,23
Unhealthy,4,137,2,164
Good,1,43,1,42
Unhealthy for Sensitive Groups,0,25,0,146
Unhealthy,3,152,2,101
Moderate,1,37,3,66
Moderate,1,14,3,60
Good,1,38,0,3
Moderate,1,46,0,59
Moderate,1,39,1,53
Moderate,1,30,6,57
Good,1,28,0,8
Good,1,25,3,49
Good,1,24,6,33
Moderate,1,29,3,52
Good,1,42,2,30
Good,1,35,6,37
Moderate,1,35,1,76
Moderate,2,20,14,63
Good,1,33,3,19
Good,1,36,0,40
Good,1,28,2,32
Unhealthy for Sensitive Groups,1,39,3,120
Good,1,34,0,18
Unhealthy for Sensitive Groups,1,47,0,146
Good,2,39,4,27
Good,1,38,0,38
Very Unhealthy,1,41,0,254
Moderate,1,44,1,56
Good,1,35,0,25
Good,1,40,0,29
Moderate,1,39,2,90
Good,1,32,0,17
Unhealthy for Sensitive Groups,3,13,4,109
Unhealthy for Sensitive Groups,1,49,0,108
Good,1,18,10,45
Unhealthy for Sensitive Groups,1,45,0,105
Moderate,2,41,0,55
Moderate,1,24,0,76
Moderate,1,32,0,57
Good,1,40,2,16
Moderate,1,46,0,54
Moderate,1,64,0,59
Moderate,0,27,0,55
Unhealthy,5,40,13,178
Unhealthy,4,19,11,156
Good,1,27,1,41
Unhealthy,2,34,3,161
Moderate,1,45,0,55
Good,1,24,0,37
Moderate,1,54,0,66
Moderate,1,37,2,51
Moderate,1,85,2,47
Moderate,3,23,7,77
Moderate,1,52,0,63
Good,0,11,0,10
Moderate,1,52,0,66
Moderate,2,39,4,73
Good,1,37,1,39
Moderate,1,24,1,65
Good,1,23,0,36
Good,1,12,1,46
Moderate,1,56,0,64
Good,0,21,0,31
Moderate,2,33,9,85
Good,1,19,0,14
Good,1,20,0,42
Moderate,1,24,0,61
Good,1,20,0,39
Moderate,1,47,0,54
Unhealthy,1,30,3,164
Good,1,18,0,33
Moderate,1,47,2,57
Moderate,1,85,2,86
Good,1,13,0,38
Unhealthy,2,47,1,156
Moderate,1,66,0,54
Moderate,1,40,0,59
Good,0,25,0,25
Moderate,1,50,0,63
Unhealthy,4,101,5,176
Good,1,46,1,28
Good,0,22,0,22
Good,1,26,1,34
Moderate,1,34,5,84
Moderate,1,35,2,53
Moderate,2,24,12,60
Moderate,1,10,4,56
Unhealthy for Sensitive Groups,4,6,33,112
Unhealthy for Sensitive Groups,1,42,0,103
Moderate,1,38,0,52
Good,1,13,0,18
Moderate,1,22,0,52
Moderate,1,19,2,51
Moderate,1,55,3,59
Moderate,2,44,4,79
Moderate,2,48,3,59
Good,1,18,6,43
Moderate,1,42,0,60
Moderate,2,28,8,73
Good,1,27,4,48
Moderate,1,32,5,53
Moderate,1,17,4,77
Moderate,2,35,0,53
Good,1,26,1,46
Good,2,25,6,48
Good,1,34,2,36
Unhealthy,3,15,6,156
Good,1,35,3,47
Good,1,31,6,37
Good,1,11,2,26
Good,1,40,1,38
Moderate,1,47,3,67
Good,1,47,1,37
Moderate,1,35,1,66
Moderate,1,50,2,63
Unhealthy,2,10,6,166
Moderate,1,41,1,53
Good,0,20,0,26
Good,0,25,0,38
Unhealthy,3,112,1,156
Moderate,1,15,3,64
Unhealthy,2,95,1,193
Moderate,2,22,13,52
Moderate,1,30,2,63
Moderate,1,31,2,52
Good,0,33,1,37
Good,1,26,4,43
Unhealthy for Sensitive Groups,2,31,6,127
Good,0,32,2,38
Moderate,2,12,29,90
Moderate,2,21,12,61
Moderate,2,26,8,62
Moderate,2,26,15,71
Good,1,22,10,50
Good,1,21,7,38
Moderate,1,37,5,54
Moderate,2,21,12,58
Good,1,32,0,48
Unhealthy,4,184,6,166
Moderate,1,37,4,55
Moderate,1,38,3,75
Moderate,2,52,0,86
Unhealthy,4,7,15,160
Moderate,1,23,0,71
Moderate,1,35,3,58
Good,0,18,0,35
Good,1,13,5,37
Good,1,20,1,50
Good,1,43,0,17
Unhealthy,3,151,2,83
Unhealthy for Sensitive Groups,4,14,11,122
Unhealthy,1,53,0,163
Moderate,2,10,22,64
Good,1,33,1,25
Moderate,3,36,3,70
Good,0,27,2,18
Unhealthy for Sensitive Groups,1,71,1,118
Moderate,2,4,4,65
Unhealthy for Sensitive Groups,2,107,3,110
Unhealthy for Sensitive Groups,2,29,7,112
Good,0,33,1,37
Moderate,1,27,11,53
Moderate,1,35,1,94
Good,1,21,5,28
Moderate,1,23,5,51
Good,1,15,0,28
Unhealthy for Sensitive Groups,2,18,5,124
Moderate,1,6,5,55
Unhealthy for Sensitive Groups,2,31,6,125
Moderate,1,23,1,62
Moderate,0,24,0,57
Moderate,1,23,9,62
Good,1,37,2,19
Good,1,3,0,19
Moderate,1,31,2,71
Unhealthy,6,81,6,171
Good,0,16,2,26
Moderate,0,23,0,73
Good,1,32,0,41
Moderate,1,31,0,52
Moderate,1,30,3,52
Good,0,15,0,29
Good,1,37,4,50
Moderate,2,32,9,53
Good,1,17,0,13
Moderate,1,25,0,61
Good,1,20,2,29
Moderate,1,9,4,68
Hazardous,1,43,0,470
Moderate,1,43,3,59
Moderate,0,21,0,61
Moderate,2,14,7,90
Good,1,42,0,10
Unhealthy,5,182,1,186
Moderate,2,1,8,62
Moderate,0,24,0,54
Moderate,1,28,5,70
Good,1,21,0,44
Moderate,2,7,24,66
Good,1,27,6,29
Good,1,24,8,34
Good,1,21,6,50
Good,1,39,0,10
Moderate,2,13,24,69
Good,1,42,2,19
Good,1,49,0,36
Good,1,50,0,34
Moderate,1,17,0,54
Unhealthy,3,111,1,165
Moderate,1,39,0,69
Good,1,9,2,37
Good,1,36,0,40
Good,1,30,2,42
Unhealthy for Sensitive Groups,2,11,10,116
Good,1,39,1,24
Moderate,2,13,25,59
Good,0,24,0,50
Good,0,29,0,14
Moderate,1,40,0,66
Unhealthy,1,42,0,150
Moderate,1,36,0,61
Good,1,17,0,33
Moderate,1,41,0,66
Good,1,20,0,45
Good,1,34,0,25
Good,1,31,0,11
Good,1,29,0,33
Moderate,1,62,0,41
Hazardous,1,49,0,355
Good,1,28,0,50
Moderate,2,36,1,72
Good,1,42,0,15
Moderate,1,33,5,55
Moderate,1,43,2,73
Moderate,1,43,2,63
Good,1,35,5,50
Good,1,29,3,21
Good,1,5,2,42
Good,1,5,3,45
Good,1,40,0,45
Moderate,1,45,1,80
Unhealthy for Sensitive Groups,3,10,10,100
Good,0,27,1,40
Unhealthy,9,5,5,160
Moderate,1,32,0,59
Moderate,1,30,2,56
Good,0,20,0,5
Unhealthy,2,193,6,128
Unhealthy for Sensitive Groups,1,44,0,122
Moderate,1,25,1,71
Moderate,2,70,0,60
Moderate,1,36,3,59
Good,0,32,1,13
Moderate,2,19,16,63
Moderate,1,42,1,81
Moderate,2,20,18,72
Moderate,1,24,3,68
Moderate,1,24,0,59
Moderate,2,8,0,69
Moderate,1,41,1,78
Moderate,1,36,0,57
Moderate,2,10,22,63
Moderate,2,31,6,57
Moderate,1,37,0,64
Unhealthy for Sensitive Groups,2,110,2,115
Moderate,2,71,2,62
Very Unhealthy,15,12,19,211
Moderate,2,29,8,68
Good,1,34,1,44
Moderate,1,59,1,54
Moderate,2,28,5,70
Moderate,2,9,33,85
Good,0,34,0,13
Good,1,9,3,50
Good,0,14,0,25
Moderate,2,40,0,80
Unhealthy,1,50,0,167
Good,1,8,3,40
Good,1,11,2,45
Good,1,17,0,36
Unhealthy,6,43,1,160
Moderate,2,27,11,54
Good,1,44,2,47
Good,1,20,0,45
Good,1,15,1,45
Good,1,27,0,20
Unhealthy for Sensitive Groups,3,74,1,132
Good,0,14,0,21
Good,0,8,1,19
Good,0,11,1,25
Moderate,1,25,1,54
Moderate,1,18,1,53
Good,1,40,4,43
Moderate,1,47,0,63
Good,1,34,0,34
Moderate,1,35,3,58
Unhealthy,3,149,0,174
Good,1,31,5,40
Moderate,1,28,6,53
Moderate,2,23,13,65
Moderate,2,21,16,68
Good,1,35,3,15
Moderate,1,8,18,66
Moderate,1,36,0,75
Moderate,1,46,1,51
Moderate,2,25,6,71
Moderate,1,41,3,63
Moderate,1,36,2,68
Moderate,1,30,3,74
Moderate,2,19,18,72
Moderate,2,28,5,71
Good,1,31,2,39
Moderate,1,16,4,55
Unhealthy,3,150,0,170
Moderate,1,25,0,86
Moderate,1,19,11,61
Moderate,2,25,3,96
Moderate,1,38,2,67
Good,1,16,0,50
Good,1,34,4,46
Moderate,1,36,3,62
Good,1,41,0,32
Good,1,37,3,15
Moderate,1,23,8,62
Moderate,1,44,2,64
Moderate,1,37,2,61
Good,1,21,0,28
Moderate,2,47,2,65
Unhealthy,1,35,0,159
Good,1,18,0,28
Moderate,2,32,0,62
Moderate,3,52,4,76
Unhealthy for Sensitive Groups,1,40,0,146
Unhealthy,1,35,0,167
Unhealthy,4,178,1,168
Moderate,1,48,0,80
Good,1,4,3,45
Moderate,1,42,2,74
Good,1,2,3,46
Moderate,0,30,0,56
Good,0,11,1,26
Moderate,1,40,1,66
Unhealthy,9,2,39,181
Good,1,23,1,50
Unhealthy,3,98,3,172
Unhealthy,3,113,2,180
Good,1,31,1,37
Unhealthy for Sensitive Groups,1,43,0,125
Good,1,24,3,46
Good,1,35,0,44
Moderate,4,13,7,97
Unhealthy,2,49,1,154
Good,1,41,0,19
Moderate,1,46,3,53
Moderate,1,58,0,75
Moderate,1,44,2,51
Moderate,1,36,1,64
Moderate,1,28,0,53
Good,0,21,0,17
Good,0,31,0,24
Unhealthy,2,40,5,194
Good,1,45,0,10
Moderate,1,51,0,52
Good,1,43,0,14
Good,0,22,0,17
Moderate,4,41,1,79
Good,1,41,2,35
Good,0,19,0,5
Good,1,33,0,2
Good,1,28,1,50
Moderate,1,48,0,75
Moderate,1,34,4,56
Moderate,2,11,18,82
Moderate,2,19,23,89
Moderate,1,45,0,64
Good,1,35,0,24
Moderate,2,27,6,71
Moderate,0,32,0,68
Moderate,1,33,2,51
Good,1,44,3,44
Moderate,0,23,0,87
Moderate,1,31,1,57
Moderate,1,70,0,42
Moderate,1,27,1,67
Good,0,19,0,41
Good,1,13,0,22
Unhealthy,11,8,26,188
Good,1,47,0,20
Moderate,1,47,0,76
Unhealthy for Sensitive Groups,3,4,7,112
Moderate,1,17,0,52
Good,1,29,0,9
Moderate,1,48,1,62
Moderate,1,33,0,75
Moderate,1,35,0,55
Unhealthy,3,134,1,158
Good,1,14,2,50
Moderate,2,52,2,65
Good,1,37,3,50
Moderate,1,47,1,64
Moderate,1,25,1,83
Good,0,9,0,13
Good,1,9,1,40
Moderate,0,23,0,74
Good,0,17,1,18
Moderate,1,20,0,60
Moderate,1,47,3,56
Moderate,2,31,0,53
Good,0,27,1,11
Good,1,34,0,32
Good,0,29,0,12
Good,0,17,1,27
Unhealthy,8,30,5,154
Moderate,1,1,2,53
Good,1,36,1,40
Unhealthy,2,128,1,173
Good,1,50,0,37
Moderate,1,20,2,53
Moderate,2,52,1,93
Moderate,1,24,2,81
Moderate,1,35,4,54
Good,1,37,1,9
Moderate,1,40,2,88
Good,0,32,1,21
Unhealthy,3,150,2,103
Moderate,1,44,0,72
Moderate,1,29,0,58
Good,0,18,0,11
Good,1,29,1,31
Unhealthy,0,43,0,151
Good,1,27,2,26
Moderate,1,40,1,68
Moderate,2,38,0,66
Moderate,1,55,0,56
Good,1,18,0,37
Moderate,2,18,14,55
Moderate,1,22,10,57
Good,1,38,2,16
Moderate,2,21,2,74
Moderate,1,38,0,58
Unhealthy,6,13,15,166
Unhealthy for Sensitive Groups,1,44,6,106
Moderate,1,47,0,53
Good,1,38,1,48
Unhealthy,4,70,7,174
Moderate,1,44,2,56
Moderate,1,50,0,64
Moderate,1,34,1,56
Unhealthy,4,101,4,171
Moderate,1,82,1,43
Unhealthy,6,120,17,167
Moderate,2,14,1,90
Moderate,1,45,1,68
Moderate,1,18,5,54
Moderate,1,74,1,37
Moderate,2,25,3,74
Good,0,14,0,19
Moderate,1,56,0,65
Unhealthy,2,14,9,162
Good,1,30,0,27
Moderate,2,17,4,78
Unhealthy,2,93,1,151
Moderate,1,67,0,75
Unhealthy for Sensitive Groups,1,37,0,113
Good,1,45,0,37
Moderate,1,43,1,55
Moderate,1,59,0,57
Moderate,1,39,7,67
Moderate,1,39,5,54
Very Unhealthy,0,39,0,218
Good,1,35,0,48
Moderate,1,26,0,58
Good,0,17,0,13
Moderate,2,26,1,56
Good,1,21,2,49
Good,0,25,0,21
Unhealthy,0,29,0,154
Moderate,1,39,0,59
Unhealthy,2,13,3,161
Moderate,1,24,3,57
Moderate,2,20,6,73
Moderate,2,35,8,59
Moderate,1,44,0,60
Good,1,49,0,30
Moderate,1,38,5,70
Moderate,1,44,0,52
Unhealthy for Sensitive Groups,2,112,0,76
Moderate,2,13,12,55
Unhealthy for Sensitive Groups,3,139,1,144
Moderate,1,36,2,80
Unhealthy for Sensitive Groups,4,11,10,137
Good,1,35,0,21
Moderate,4,6,3,76
Good,0,32,0,24
Moderate,1,22,0,78
Unhealthy,3,146,0,158
Good,1,19,0,42
Moderate,1,19,14,51
Very Unhealthy,21,105,7,216
Good,1,34,3,21
Moderate,1,48,2,60
Moderate,0,23,1,71
Good,1,32,0,10
Good,1,35,0,18
Unhealthy for Sensitive Groups,3,33,10,145
Good,1,33,0,23
Good,1,49,0,50
Moderate,1,21,0,63
Moderate,1,64,1,29
Moderate,2,18,1,78
Unhealthy,4,26,10,154
Good,1,38,1,35
Moderate,2,38,9,63
Unhealthy,4,13,25,154
Good,1,29,5,45
Moderate,1,56,0,65
Good,1,42,0,25
Hazardous,19,0,48,307
Moderate,1,44,2,73
Good,1,36,0,13
Moderate,1,40,1,54
Moderate,2,45,7,68
Moderate,1,46,0,51
Moderate,0,30,0,70
Unhealthy for Sensitive Groups,3,35,2,116
Moderate,1,72,3,39
Moderate,1,27,1,57
Moderate,1,41,0,58
Moderate,1,35,3,54
Unhealthy,4,163,6,155
Moderate,1,51,1,55
Good,2,27,6,39
Good,1,42,0,25
Very Unhealthy,1,67,0,206
Unhealthy for Sensitive Groups,2,23,5,109
Good,2,26,6,46
Good,1,27,1,37
Moderate,0,20,0,69
Unhealthy,6,3,20,169
Unhealthy for Sensitive Groups,3,16,6,132
Unhealthy,4,40,11,163
Good,1,18,0,34
Good,1,21,3,31
Good,0,37,0,15
Moderate,1,91,1,22
Moderate,1,44,0,86
Moderate,1,46,0,58
Unhealthy,10,8,25,187
Good,1,35,1,37
Moderate,1,63,2,30
Moderate,1,45,1,52
Moderate,1,21,0,55
Unhealthy for Sensitive Groups,3,12,28,131
Moderate,1,44,1,59
Unhealthy,8,26,18,164
Unhealthy for Sensitive Groups,2,24,5,106
Good,1,17,1,40
Moderate,2,27,3,94
Good,1,42,0,26
Moderate,2,76,2,38
Moderate,1,28,0,60
Good,1,23,1,17
Good,1,39,0,20
Unhealthy,1,39,2,178
Good,1,25,0,8
Good,1,44,0,38
Unhealthy for Sensitive Groups,2,33,9,135
Unhealthy,1,30,2,169
Good,1,49,3,49
Good,1,36,0,20
Good,0,41,0,20
Moderate,1,13,3,89
Unhealthy for Sensitive Groups,1,31,0,100
Moderate,1,38,5,64
Good,1,24,0,50
Moderate,1,57,0,52
Good,1,14,0,10
Unhealthy,9,5,23,192
Unhealthy for Sensitive Groups,1,44,0,121
Good,0,21,1,19
Moderate,1,18,4,66
Good,1,25,0,38
Good,0,28,0,50
Moderate,1,24,9,54
Good,0,14,0,20
Moderate,1,32,0,65
Moderate,1,74,1,27
Moderate,1,25,11,60
Good,0,18,0,42
Moderate,1,29,8,53
Moderate,1,62,3,41
Moderate,1,12,13,57
Moderate,1,33,3,56
Good,1,19,1,24
Good,0,33,1,27
Unhealthy,0,34,0,187
Good,1,12,2,29
Moderate,1,23,0,63
Good,0,38,0,28
Moderate,1,27,0,56
Good,0,22,2,41
Unhealthy,3,165,2,85
Moderate,2,2,9,74
Good,0,25,0,37
Moderate,2,24,4,95
Moderate,1,33,0,56
Moderate,1,33,0,67
Good,1,50,1,22
Moderate,2,9,5,81
Good,1,46,2,26
Good,1,4,1,39
Moderate,1,22,4,57
Moderate,1,27,12,51
Moderate,1,27,12,58
Very Unhealthy,16,1,8,202
Good,0,27,0,11
Good,0,42,0,23
Good,1,42,0,15
Moderate,1,36,3,62
Moderate,1,28,1,73
Good,1,50,1,34
Good,0,15,0,23
Good,1,23,2,45
Good,1,42,1,32
Moderate,1,17,0,52
Unhealthy,8,19,6,154
Good,1,38,2,45
Good,1,25,0,17
Good,1,27,3,35
Good,1,37,0,26
Very Unhealthy,11,8,11,213
Moderate,1,42,4,63
Moderate,1,36,1,56
Good,1,11,0,29
Good,1,25,4,22
Moderate,4,5,13,92
Moderate,2,32,13,59
Good,1,37,7,45
Good,0,17,0,28
Good,1,6,1,30
Good,1,23,0,25
Moderate,2,6,2,55
Moderate,1,49,0,69
Moderate,1,51,1,35
Unhealthy,1,36,0,153
Good,1,29,3,9
Good,1,28,1,12
Good,1,32,1,32
Moderate,0,26,0,75
Good,1,40,1,23
Good,1,27,2,33
Moderate,2,18,15,68
Moderate,1,30,5,54
Good,1,23,6,28
Moderate,1,45,1,71
Good,1,44,0,18
Good,0,32,0,10
Moderate,1,29,2,51
Moderate,1,20,3,60
Moderate,3,2,6,73
Good,1,41,0,32
Good,0,12,1,33
Good,0,16,0,24
Good,1,49,2,26
Moderate,3,19,1,85
Good,0,28,1,32
Moderate,1,41,2,55
Unhealthy,4,87,12,152
Unhealthy,8,16,6,164
Unhealthy,5,88,7,151
Good,1,12,0,27
Good,1,39,0,14
Good,1,29,0,27
Unhealthy,7,0,20,163
Moderate,2,18,0,60
Good,0,12,1,19
Good,0,19,0,13
Moderate,2,67,1,79
Good,1,33,1,24
Good,0,17,7,36
Moderate,1,28,6,62
Good,1,41,2,16
Good,1,26,1,50
Moderate,1,10,15,58
Good,0,38,1,39
Good,1,24,3,47
Moderate,1,37,1,57
Good,1,40,6,42
Good,1,32,2,21
Unhealthy,1,94,1,196
Good,0,25,3,34
Moderate,1,38,0,56
Unhealthy,3,190,2,157
Moderate,0,38,0,66
Good,1,30,8,44
Good,1,41,0,41
Moderate,1,43,0,65
Hazardous,1,51,1,264
Unhealthy,1,67,0,164
Moderate,1,45,3,62
Good,1,21,5,41
Good,1,24,3,37
Good,0,22,0,10
Good,0,31,1,27
Moderate,2,10,0,74
Good,2,17,0,35
Good,1,25,3,37
Unhealthy,5,23,1,157
Good,1,26,5,40
Good,0,24,0,21
Unhealthy for Sensitive Groups,1,40,0,110
Good,1,17,2,41
Good,1,40,2,29
Good,0,13,1,18
Good,1,7,0,27
Good,1,35,0,29
Good,1,11,1,33
Good,0,30,2,27
Good,0,22,0,47
Moderate,0,21,0,51
Moderate,1,14,12,55
Good,1,10,13,41
Unhealthy for Sensitive Groups,0,21,0,101
Good,1,23,3,38
Good,1,46,0,22
Moderate,2,14,11,55
Unhealthy,1,38,0,150
Moderate,2,15,7,70
Very Unhealthy,1,58,1,263
Good,1,36,3,27
Good,0,34,0,19
Unhealthy for Sensitive Groups,1,35,0,147
Good,0,21,0,17
Moderate,1,32,5,52
Good,1,34,0,17
Good,1,32,0,14
Good,1,29,0,9
Good,1,16,0,35
Moderate,1,16,10,56
Moderate,2,16,8,51
Good,1,33,0,44
Good,1,25,0,25
Moderate,2,35,6,70
Good,0,32,1,38
Moderate,1,26,3,62
Good,1,29,3,18
Good,1,23,9,38
Moderate,1,14,4,51
Good,1,10,1,36
Moderate,3,13,8,97
Moderate,2,27,4,63
Very Unhealthy,4,169,2,242
Moderate,1,26,0,89
Good,1,23,4,34
Good,1,30,8,42
Unhealthy,3,94,4,198
Unhealthy for Sensitive Groups,1,15,2,113
Good,1,13,0,24
Unhealthy,6,0,6,155
Good,0,17,0,21
Very Unhealthy,1,43,0,216
Good,1,34,0,21
Good,1,39,1,38
Good,1,22,6,39
Moderate,1,36,0,63
Good,1,32,0,29
Good,1,13,6,34
Unhealthy,1,37,0,196
Good,0,22,0,16
Good,1,36,1,43
Moderate,1,27,2,54
Good,0,32,1,20
Good,1,24,2,26
Moderate,1,26,13,52
Moderate,1,30,6,60
Good,0,30,0,17
Moderate,1,16,9,58
Good,1,26,2,31
Moderate,1,37,4,84
Moderate,1,23,6,51
Moderate,0,25,0,88
Unhealthy for Sensitive Groups,2,109,0,108
Unhealthy for Sensitive Groups,1,35,0,125
Hazardous,1,43,2,487
Good,2,42,6,28
Moderate,1,34,1,84
Moderate,2,29,3,51
